"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (m)"
6.519107717E1,6.506999833E1,2.550291833E1,1.191501467E1,1.256951690E0,3.904000092E1,1.299999952E0,1.300000000E1
6.619107717E1,6.507000833E1,2.550293333E1,1.161501009E1,1.272908092E0,3.656999969E1,1.299999952E0,1.260000038E1
6.719107717E1,6.507001833E1,2.550294667E1,1.141500564E1,1.252319217E0,3.847000122E1,1.299999952E0,1.230000019E1
6.819107717E1,6.507002833E1,2.550296000E1,1.131500118E1,1.227097750E0,3.206999969E1,1.299999952E0,1.250000000E1
6.919107717E1,6.507003667E1,2.550297500E1,1.111499719E1,1.238421679E0,4.025000000E1,1.299999952E0,1.269999981E1
7.019107717E1,6.507004667E1,2.550298833E1,1.091499273E1,1.277540565E0,3.220000076E1,1.299999952E0,1.269999981E1
7.119107717E1,6.507005833E1,2.550300500E1,1.091498746E1,1.289379120E0,2.881999969E1,1.299999952E0,1.269999981E1
7.219107717E1,6.507006833E1,2.550301667E1,1.071498312E1,1.279084682E0,3.070999908E1,1.299999952E0,1.230000019E1
7.319107717E1,6.507007833E1,2.550302833E1,1.071497878E1,1.260554671E0,2.912000084E1,1.299999952E0,1.250000000E1
7.419107717E1,6.507008833E1,2.550304000E1,1.061497444E1,1.250260234E0,3.077000046E1,1.299999952E0,1.260000038E1
7.519107717E1,6.507009833E1,2.550305500E1,1.061496987E1,1.252319217E0,3.968999863E1,1.299999952E0,1.280000019E1
7.619107717E1,6.507010667E1,2.550307667E1,1.031496541E1,1.260554671E0,4.352999878E1,1.299999952E0,1.230000019E1
7.719107717E1,6.507011500E1,2.550309833E1,1.011496095E1,1.283717275E0,4.150000000E1,1.299999952E0,1.200000000E1
7.819107717E1,6.507012167E1,2.550312000E1,9.914957083E0,1.300188303E0,4.054999924E1,1.299999952E0,1.189999962E1
7.919107717E1,6.507013167E1,2.550314333E1,9.414951924E0,1.296070576E0,4.763999939E1,1.399999976E0,1.219999981E1
8.019107717E1,6.507014000E1,2.550316333E1,9.114947586E0,1.269819736E0,4.393000031E1,1.500000000E0,1.239999962E1
8.119107717E1,6.507014833E1,2.550318000E1,8.914943483E0,1.264672518E0,4.781000137E1,1.500000000E0,1.260000038E1
8.219107717E1,6.507015833E1,2.550319833E1,8.814938677E0,1.277540565E0,3.615999985E1,1.500000000E0,1.269999981E1
8.319107717E1,6.507016833E1,2.550321833E1,8.414933753E0,1.299158931E0,4.052000046E1,1.399999976E0,1.250000000E1
8.419107717E1,6.507017500E1,2.550323833E1,8.314930002E0,1.320777178E0,4.252000046E1,1.500000000E0,1.260000038E1
8.519107717E1,6.507018333E1,2.550325333E1,8.614926017E0,1.331586361E0,2.982999992E1,1.500000000E0,1.250000000E1
8.619107717E1,6.507019500E1,2.550326833E1,8.714920861E0,1.331586361E0,3.263999939E1,1.500000000E0,1.230000019E1
8.719107717E1,6.507020333E1,2.550328833E1,9.114916525E0,1.318718314E0,3.112999916E1,1.500000000E0,1.189999962E1
8.819107717E1,6.507021167E1,2.550331167E1,9.614911954E0,1.308423877E0,3.515000153E1,1.500000000E0,1.130000019E1
8.919107717E1,6.507022167E1,2.550333167E1,9.914907033E0,1.293496966E0,4.227000046E1,1.500000000E0,1.139999962E1
9.019107717E1,6.507022833E1,2.550335333E1,1.041490317E1,1.289379120E0,4.224000168E1,1.500000000E0,1.139999962E1
