"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (m)"
2.241910772E2,6.507100667E1,2.550460167E1,1.281454262E1,1.152463078E0,9.718000031E1,1.600000024E0,1.069999981E1
2.251910772E2,6.507100500E1,2.550462500E1,1.271454157E1,1.173566699E0,1.013000031E2,1.600000024E0,1.069999981E1
2.261910772E2,6.507100333E1,2.550465167E1,1.271454029E1,1.184375882E0,1.050699997E2,1.700000048E0,1.069999981E1
2.271910772E2,6.507100333E1,2.550468000E1,1.281453832E1,1.174596071E0,9.601999664E1,1.700000048E0,1.060000038E1
2.281910772E2,6.507100167E1,2.550470333E1,1.261453727E1,1.150918841E0,9.512000275E1,1.700000048E0,1.060000038E1
2.291910772E2,6.507100167E1,2.550472333E1,1.251453588E1,1.147830606E0,9.901000214E1,1.600000024E0,1.080000019E1
2.301910772E2,6.507100167E1,2.550474667E1,1.281453425E1,1.179228663E0,9.908999634E1,1.600000024E0,1.089999962E1
2.311910772E2,6.507100167E1,2.550477667E1,1.331453216E1,1.222980022E0,1.015500031E2,1.600000024E0,1.089999962E1
2.321910772E2,6.507100000E1,2.550480667E1,1.431453065E1,1.234818578E0,1.020400009E2,1.600000024E0,1.089999962E1
2.331910772E2,6.507100000E1,2.550482833E1,1.521452914E1,1.231215596E0,8.748000336E1,1.600000024E0,1.119999981E1
2.341910772E2,6.507100167E1,2.550485000E1,1.561452704E1,1.214744449E0,8.801000214E1,1.600000024E0,1.130000019E1
2.351910772E2,6.507099833E1,2.550487667E1,1.601452635E1,1.194155574E0,1.101800003E2,1.700000048E0,1.119999981E1
2.361910772E2,6.507099333E1,2.550489667E1,1.641452670E1,1.177684426E0,1.028399963E2,1.600000024E0,1.130000019E1
2.371910772E2,6.507099500E1,2.550491833E1,1.711452461E1,1.144227505E0,9.637000275E1,1.600000024E0,1.180000019E1
2.381910772E2,6.507099500E1,2.550494000E1,1.731452310E1,1.145771623E0,8.623000336E1,1.600000024E0,1.189999962E1
2.391910772E2,6.507099333E1,2.550496667E1,1.771452182E1,1.168934226E0,1.044700012E2,1.600000024E0,1.189999962E1
2.401910772E2,6.507099000E1,2.550499667E1,1.851452089E1,1.180258036E0,1.240599976E2,1.600000024E0,1.160000038E1
2.411910772E2,6.507098167E1,2.550501833E1,1.841452230E1,1.157095551E0,1.152399979E2,1.700000048E0,1.169999981E1
2.421910772E2,6.507097333E1,2.550504167E1,1.811452359E1,1.161213279E0,1.302799988E2,1.700000048E0,1.169999981E1
2.431910772E2,6.507096833E1,2.550506833E1,1.791452348E1,1.149889469E0,1.228499985E2,1.700000048E0,1.169999981E1
2.441910772E2,6.507096333E1,2.550509167E1,1.781452360E1,1.162757516E0,1.228199997E2,1.700000048E0,1.189999962E1
2.451910772E2,6.507095833E1,2.550511833E1,1.791452349E1,1.177684426E0,1.273799973E2,1.700000048E0,1.169999981E1
2.461910772E2,6.507095000E1,2.550513667E1,1.751452512E1,1.199817538E0,1.199400024E2,1.700000048E0,1.160000038E1
2.471910772E2,6.507094667E1,2.550515500E1,1.751452501E1,1.214229703E0,1.165800018E2,1.700000048E0,1.180000019E1
2.481910772E2,6.507094667E1,2.550518333E1,1.731452303E1,1.240995288E0,9.645999908E1,1.700000048E0,1.169999981E1
2.491910772E2,6.507094833E1,2.550521167E1,1.721452047E1,1.234303832E0,1.167099991E2,1.700000048E0,1.130000019E1
2.501910772E2,6.507094667E1,2.550524833E1,1.631451849E1,1.209597230E0,9.965000153E1,1.700000048E0,1.119999981E1
2.511910772E2,6.507094833E1,2.550528000E1,1.671451570E1,1.213714957E0,1.099800034E2,1.600000024E0,1.110000038E1
2.521910772E2,6.507094833E1,2.550531000E1,1.691451360E1,1.201876402E0,9.797000122E1,1.600000024E0,1.060000038E1
2.531910772E2,6.507094833E1,2.550533167E1,1.691451209E1,1.215773940E0,9.150000000E1,1.600000024E0,1.050000000E1
2.541910772E2,6.507094500E1,2.550535167E1,1.671451186E1,1.203935266E0,1.101299973E2,1.600000024E0,1.060000038E1
2.551910772E2,6.507094000E1,2.550537500E1,1.691451198E1,1.197758555E0,1.052099991E2,1.600000024E0,1.050000000E1
2.561910772E2,6.507093500E1,2.550540167E1,1.731451187E1,1.179743290E0,1.041399994E2,1.600000024E0,1.060000038E1
2.571910772E2,6.507093167E1,2.550542667E1,1.781451129E1,1.192611337E0,1.048399963E2,1.600000024E0,1.069999981E1
2.581910772E2,6.507092500E1,2.550544333E1,1.761451246E1,1.153492451E0,1.003499985E2,1.600000024E0,1.119999981E1
2.591910772E2,6.507092000E1,2.550546333E1,1.761451281E1,1.141653895E0,1.086100006E2,1.600000024E0,1.130000019E1
2.601910772E2,6.507091500E1,2.550549333E1,1.751451246E1,1.125182748E0,8.762999725E1,1.600000024E0,1.150000000E1
2.611910772E2,6.507091500E1,2.550551667E1,1.741451083E1,1.119520783E0,5.934000015E1,1.600000024E0,1.130000019E1
2.621910772E2,6.507091667E1,2.550554833E1,1.681450804E1,1.109741092E0,6.651999664E1,1.600000024E0,1.139999962E1
2.631910772E2,6.507092000E1,2.550557833E1,1.621450478E1,1.088122725E0,6.463999939E1,1.600000024E0,1.250000000E1
2.641910772E2,6.507092000E1,2.550560333E1,1.571450303E1,1.065989733E0,8.119999695E1,1.600000024E0,1.269999981E1
2.651910772E2,6.507092500E1,2.550562500E1,1.521449977E1,1.072166443E0,6.470999908E1,1.600000024E0,1.210000038E1
2.661910772E2,6.507093167E1,2.550565667E1,1.441449523E1,1.085034490E0,6.505000305E1,1.600000024E0,1.189999962E1
2.671910772E2,6.507093500E1,2.550567667E1,1.361449267E1,1.067533851E0,6.202000046E1,1.500000000E0,1.189999962E1
2.681910772E2,6.507093667E1,2.550569667E1,1.351449069E1,1.079372525E0,6.058000183E1,1.600000024E0,1.200000000E1
2.691910772E2,6.507094167E1,2.550572000E1,1.331448731E1,1.040253639E0,6.823000336E1,1.600000024E0,1.160000038E1
2.701910772E2,6.507094667E1,2.550574333E1,1.321448394E1,1.046944976E0,6.829000092E1,1.600000024E0,1.169999981E1
2.711910772E2,6.507095167E1,2.550577000E1,1.321448033E1,1.058268905E0,6.168999863E1,1.600000024E0,1.169999981E1
2.721910772E2,6.507095667E1,2.550579833E1,1.391447660E1,1.069592834E0,5.774000168E1,1.600000024E0,1.139999962E1
2.731910772E2,6.507096000E1,2.550582500E1,1.411447358E1,1.078343034E0,6.029000092E1,1.600000024E0,1.139999962E1
2.741910772E2,6.507096333E1,2.550584000E1,1.481447137E1,1.079887271E0,5.340000153E1,1.600000024E0,1.139999962E1
2.751910772E2,6.507097000E1,2.550586167E1,1.501446752E1,1.059813023E0,5.159999847E1,1.600000024E0,1.160000038E1
2.761910772E2,6.507097333E1,2.550588167E1,1.511446496E1,1.029959202E0,5.863999939E1,1.600000024E0,1.189999962E1
2.771910772E2,6.507097667E1,2.550590333E1,1.501446229E1,1.036135793E0,7.022000122E1,1.600000024E0,1.189999962E1
2.781910772E2,6.507098167E1,2.550592167E1,1.491445926E1,1.042827249E0,7.370999908E1,1.600000024E0,1.230000019E1
2.791910772E2,6.507098333E1,2.550594500E1,1.521445705E1,1.088122725E0,8.962000275E1,1.600000024E0,1.150000000E1
2.801910772E2,6.507098000E1,2.550596833E1,1.521445659E1,1.099446654E0,7.408999634E1,1.600000024E0,1.139999962E1
2.811910772E2,6.507098333E1,2.550599500E1,1.521445356E1,1.096358299E0,7.441999817E1,1.600000024E0,1.200000000E1
2.821910772E2,6.507098833E1,2.550603500E1,1.481444902E1,1.083490252E0,7.373999786E1,1.600000024E0,1.160000038E1
2.831910772E2,6.507098833E1,2.550606000E1,1.401444728E1,1.059813023E0,8.598000336E1,1.600000024E0,1.139999962E1
2.841910772E2,6.507099000E1,2.550607500E1,1.351444565E1,1.054151058E0,9.456999969E1,1.600000024E0,1.139999962E1
2.851910772E2,6.507099500E1,2.550610167E1,1.311444204E1,1.056210041E0,6.240000153E1,1.600000024E0,1.139999962E1
2.861910772E2,6.507100167E1,2.550613167E1,1.281443762E1,1.092240572E0,5.993000031E1,1.600000024E0,1.150000000E1
2.871910772E2,6.507100500E1,2.550616500E1,1.251443413E1,1.108711720E0,7.922000122E1,1.600000024E0,1.139999962E1
2.881910772E2,6.507100000E1,2.550618333E1,1.251443460E1,1.124668002E0,7.987000275E1,1.600000024E0,1.130000019E1
2.891910772E2,6.507099667E1,2.550621500E1,1.241443356E1,1.106652737E0,1.018000031E2,1.600000024E0,1.130000019E1
2.901910772E2,6.507099167E1,2.550624000E1,1.271443356E1,1.105623364E0,1.130999985E2,1.600000024E0,1.100000000E1
2.911910772E2,6.507099167E1,2.550627333E1,1.261443123E1,1.091211081E0,1.111699982E2,1.600000024E0,1.089999962E1
2.921910772E2,6.507098667E1,2.550630167E1,1.241443100E1,1.109741092E0,1.286699982E2,1.600000024E0,1.110000038E1
2.931910772E2,6.507098000E1,2.550632333E1,1.261443181E1,1.154007196E0,1.421300049E2,1.700000048E0,1.119999981E1
2.941910772E2,6.507097667E1,2.550633833E1,1.261443193E1,1.168934226E0,1.363500061E2,1.700000048E0,1.130000019E1
2.951910772E2,6.507097333E1,2.550635667E1,1.281443181E1,1.189008355E0,1.531900024E2,1.700000048E0,1.150000000E1
2.961910772E2,6.507096667E1,2.550637500E1,1.281443286E1,1.184375882E0,1.459900055E2,1.700000048E0,1.130000019E1
2.971910772E2,6.507096000E1,2.550639167E1,1.301443402E1,1.198273301E0,1.456199951E2,1.700000048E0,1.119999981E1
2.981910772E2,6.507095333E1,2.550640500E1,1.281443542E1,1.198788047E0,1.481799927E2,1.700000048E0,1.110000038E1
2.991910772E2,6.507094667E1,2.550641833E1,1.281443681E1,1.192611337E0,1.331399994E2,1.700000048E0,1.169999981E1
3.001910772E2,6.507094000E1,2.550643500E1,1.261443798E1,1.180772781E0,1.282299957E2,1.700000048E0,1.189999962E1
3.011910772E2,6.507093000E1,2.550645333E1,1.251444019E1,1.217318058E0,1.374199982E2,1.700000048E0,1.189999962E1
3.021910772E2,6.507092000E1,2.550647500E1,1.201444216E1,1.214744449E0,1.431699982E2,1.700000048E0,1.180000019E1
3.031910772E2,6.507091167E1,2.550649000E1,1.161444402E1,1.175625563E0,1.455800018E2,1.700000048E0,1.239999962E1
3.041910772E2,6.507090167E1,2.550650167E1,1.151444670E1,1.150918841E0,1.403800049E2,1.700000048E0,1.269999981E1
3.051910772E2,6.507089500E1,2.550651833E1,1.131444786E1,1.097902536E0,1.366699982E2,1.700000048E0,1.280000019E1
3.061910772E2,6.507088500E1,2.550654333E1,1.121444960E1,1.066504478E0,1.323099976E2,1.700000048E0,1.289999962E1
3.071910772E2,6.507087667E1,2.550656667E1,1.071445088E1,1.025841355E0,1.253700027E2,1.700000048E0,1.289999962E1
3.081910772E2,6.507087167E1,2.550659333E1,1.031445076E1,1.043341994E0,1.366600037E2,1.700000048E0,1.230000019E1
3.091910772E2,6.507086000E1,2.550662333E1,1.081445273E1,1.073195815E0,1.275400009E2,1.700000048E0,1.210000038E1
3.101910772E2,6.507085000E1,2.550664667E1,1.101445459E1,1.080401897E0,1.358999939E2,1.700000048E0,1.169999981E1
3.111910772E2,6.507084500E1,2.550666833E1,1.121445482E1,1.027900219E0,1.291499939E2,1.700000048E0,1.189999962E1
3.121910772E2,6.507083667E1,2.550669667E1,1.151445574E1,1.021723628E0,1.428899994E2,1.700000048E0,1.180000019E1
3.131910772E2,6.507082833E1,2.550671833E1,1.191445713E1,1.047974467E0,1.318300018E2,1.700000048E0,1.189999962E1
3.141910772E2,6.507082000E1,2.550673833E1,1.221445864E1,1.065989733E0,1.319799957E2,1.700000048E0,1.210000038E1
3.151910772E2,6.507080833E1,2.550676167E1,1.261446108E1,1.121579766E0,1.399700012E2,1.700000048E0,1.189999962E1
3.161910772E2,6.507079833E1,2.550678000E1,1.261446328E1,1.147830606E0,1.328399963E2,1.700000048E0,1.200000000E1
3.171910772E2,6.507078500E1,2.550680167E1,1.261446641E1,1.191581964E0,1.416399994E2,1.700000048E0,1.200000000E1
3.181910772E2,6.507077167E1,2.550682167E1,1.281446966E1,1.173566699E0,1.325899963E2,1.700000048E0,1.210000038E1
3.191910772E2,6.507076167E1,2.550684000E1,1.291447187E1,1.165845871E0,1.312299957E2,1.700000048E0,1.210000038E1
3.201910772E2,6.507075167E1,2.550685833E1,1.291447407E1,1.162757516E0,1.376600037E2,1.600000024E0,1.169999981E1
3.211910772E2,6.507074333E1,2.550687833E1,1.311447557E1,1.164301634E0,1.260199966E2,1.600000024E0,1.180000019E1
3.221910772E2,6.507074000E1,2.550690000E1,1.351447522E1,1.141653895E0,1.127799988E2,1.500000000E0,1.189999962E1
3.231910772E2,6.507073500E1,2.550692167E1,1.401447545E1,1.115917802E0,1.246200027E2,1.600000024E0,1.169999981E1
3.241910772E2,6.507072833E1,2.550694167E1,1.431447637E1,1.104593873E0,1.230500031E2,1.700000048E0,1.189999962E1
3.251910772E2,6.507072167E1,2.550697000E1,1.461447671E1,1.057754159E0,1.138499985E2,1.700000048E0,1.180000019E1
3.261910772E2,6.507072000E1,2.550698667E1,1.501447612E1,1.032532811E0,1.226600037E2,1.700000048E0,1.200000000E1
3.271910772E2,6.507071500E1,2.550700667E1,1.561447647E1,1.001134753E0,1.235699997E2,1.700000048E0,1.200000000E1
3.281910772E2,6.507071333E1,2.550703667E1,1.631447495E1,9.784869552E-1,1.127600021E2,1.700000048E0,1.219999981E1
3.291910772E2,6.507070500E1,2.550706833E1,1.691447564E1,9.748839140E-1,1.198300018E2,1.700000048E0,1.210000038E1
3.301910772E2,6.507069500E1,2.550709500E1,1.731447725E1,9.831194282E-1,1.212099991E2,1.700000048E0,1.200000000E1
3.311910772E2,6.507069000E1,2.550711833E1,1.751447736E1,9.908402562E-1,1.229199982E2,1.700000048E0,1.210000038E1
3.321910772E2,6.507068500E1,2.550714833E1,1.761447700E1,1.013488054E0,1.313800049E2,1.700000048E0,1.239999962E1
3.331910772E2,6.507067667E1,2.550716000E1,1.751447909E1,1.035106421E0,1.602100067E2,1.700000048E0,1.300000000E1
3.341910772E2,6.507066667E1,2.550717500E1,1.741448152E1,1.046430230E0,1.425599976E2,1.700000048E0,1.310000038E1
3.351910772E2,6.507065667E1,2.550719833E1,1.731448337E1,1.076798916E0,1.302100067E2,1.700000048E0,1.319999981E1
3.361910772E2,6.507064833E1,2.550722333E1,1.731448452E1,1.082460880E0,1.353000031E2,1.700000048E0,1.319999981E1
3.371910772E2,6.507063833E1,2.550725167E1,1.711448602E1,1.081431389E0,1.316699982E2,1.700000048E0,1.339999962E1
3.381910772E2,6.507062833E1,2.550727167E1,1.721448810E1,1.084004998E0,1.286999969E2,1.700000048E0,1.230000019E1
3.391910772E2,6.507062667E1,2.550729333E1,1.771448716E1,1.038194776E0,1.302500000E2,1.700000048E0,1.230000019E1
3.401910772E2,6.507062000E1,2.550730833E1,1.771448843E1,9.990758300E-1,1.304600067E2,1.700000048E0,1.219999981E1
3.411910772E2,6.507061333E1,2.550732500E1,1.811448959E1,9.795163870E-1,1.417100067E2,1.700000048E0,1.230000019E1
3.421910772E2,6.507060833E1,2.550734500E1,1.821448993E1,9.542949796E-1,1.430899963E2,1.700000048E0,1.230000019E1
3.431910772E2,6.507060167E1,2.550735667E1,1.851449143E1,9.146614075E-1,1.187399979E2,1.700000048E0,1.250000000E1
3.441910772E2,6.507060000E1,2.550736833E1,1.851449119E1,9.089994431E-1,1.417700043E2,1.700000048E0,1.269999981E1
3.451910772E2,6.507059500E1,2.550738167E1,1.881449200E1,8.914988637E-1,1.310599976E2,1.600000024E0,1.260000038E1
3.461910772E2,6.507058833E1,2.550740000E1,1.891449303E1,9.002491832E-1,1.268300018E2,1.600000024E0,1.219999981E1
3.471910772E2,6.507058167E1,2.550742167E1,1.911449384E1,9.017933607E-1,1.334600067E2,1.600000024E0,1.230000019E1
3.481910772E2,6.507057833E1,2.550743833E1,1.951449383E1,8.806897402E-1,1.172799988E2,1.700000048E0,1.250000000E1
3.491910772E2,6.507057500E1,2.550745833E1,1.991449359E1,9.079700112E-1,1.102200012E2,1.700000048E0,1.230000019E1
3.501910772E2,6.507057333E1,2.550747833E1,2.001449276E1,9.100288749E-1,1.020699997E2,1.700000048E0,1.239999962E1
3.511910772E2,6.507056667E1,2.550750500E1,2.011449322E1,9.429711103E-1,1.006200027E2,1.700000048E0,1.239999962E1
3.521910772E2,6.507056167E1,2.550753333E1,2.051449297E1,9.301030636E-1,9.587999725E1,1.700000048E0,1.239999962E1
3.531910772E2,6.507055667E1,2.550756500E1,2.051449249E1,9.970169663E-1,1.238899994E2,1.700000048E0,1.250000000E1
3.541910772E2,6.507055333E1,2.550760167E1,2.061449108E1,1.032018065E0,1.140199966E2,1.700000048E0,1.239999962E1
3.551910772E2,6.507054667E1,2.550764167E1,1.991449059E1,1.077313662E0,1.162799988E2,1.700000048E0,1.239999962E1
3.561910772E2,6.507053667E1,2.550767667E1,1.981449162E1,1.112314701E0,1.264199982E2,1.799999952E0,1.250000000E1
3.571910772E2,6.507053000E1,2.550771167E1,1.971449148E1,1.151948333E0,1.162099991E2,1.799999952E0,1.260000038E1
3.581910772E2,6.507052500E1,2.550775000E1,1.931449053E1,1.241510034E0,1.050500031E2,1.799999952E0,1.280000019E1
3.591910772E2,6.507052000E1,2.550778667E1,1.991448970E1,1.347542763E0,1.129499969E2,1.799999952E0,1.289999962E1
3.601910772E2,6.507050833E1,2.550782333E1,1.991449119E1,1.499385834E0,1.230000000E2,1.799999952E0,1.289999962E1
3.611910772E2,6.507049500E1,2.550786500E1,2.001449290E1,1.560637832E0,1.153300018E2,1.899999976E0,1.310000038E1
3.621910772E2,6.507048333E1,2.550790500E1,1.981449415E1,1.661523342E0,1.231299973E2,1.899999976E0,1.350000000E1
3.631910772E2,6.507047333E1,2.550795500E1,2.001449412E1,1.701156974E0,1.221999969E2,1.799999952E0,1.350000000E1
3.641910772E2,6.507045500E1,2.550800167E1,1.951449722E1,1.780938864E0,1.235699997E2,1.799999952E0,1.310000038E1
3.651910772E2,6.507043833E1,2.550805000E1,1.871449962E1,1.850426435E0,1.228099976E2,1.799999952E0,1.250000000E1
3.661910772E2,6.507042333E1,2.550809833E1,1.821450144E1,1.937414408E0,1.233700027E2,1.799999952E0,1.219999981E1
3.671910772E2,6.507040500E1,2.550815833E1,1.731450359E1,2.086683989E0,1.279199982E2,1.799999952E0,1.219999981E1
3.681910772E2,6.507039500E1,2.550821167E1,1.681450332E1,2.125288010E0,1.096500015E2,1.799999952E0,1.239999962E1
3.691910772E2,6.507038833E1,2.550826333E1,1.621450201E1,2.155656576E0,1.178300018E2,1.799999952E0,1.250000000E1
3.701910772E2,6.507038000E1,2.550831333E1,1.531450139E1,2.147421122E0,1.066299973E2,1.799999952E0,1.239999962E1
3.711910772E2,6.507037500E1,2.550836333E1,1.531449962E1,2.191687107E0,1.087900009E2,1.700000048E0,1.219999981E1
3.721910772E2,6.507036500E1,2.550840833E1,1.501449993E1,2.200437546E0,1.110199966E2,1.799999952E0,1.210000038E1
3.731910772E2,6.507035500E1,2.550845833E1,1.431449989E1,2.194775581E0,1.112399979E2,1.899999976E0,1.189999962E1
3.741910772E2,6.507035000E1,2.550850000E1,1.421449870E1,2.151024103E0,1.160100021E2,1.899999976E0,1.239999962E1
3.751910772E2,6.507033667E1,2.550854667E1,1.331450005E1,2.138670921E0,1.233899994E2,1.799999952E0,1.210000038E1
3.761910772E2,6.507032667E1,2.550859000E1,1.331450047E1,2.097493172E0,1.244400024E2,1.799999952E0,1.169999981E1
3.771910772E2,6.507031500E1,2.550862833E1,1.281450183E1,1.990945578E0,1.288399963E2,1.700000048E0,1.169999981E1
3.781910772E2,6.507031000E1,2.550865667E1,1.281450157E1,1.933296680E0,1.281900024E2,1.799999952E0,1.169999981E1
3.791910772E2,6.507029833E1,2.550868833E1,1.211450339E1,1.829322815E0,1.223000031E2,1.799999952E0,1.169999981E1
3.801910772E2,6.507028667E1,2.550872500E1,1.161450486E1,1.787115574E0,1.234800034E2,1.799999952E0,1.180000019E1
3.811910772E2,6.507027667E1,2.550876500E1,1.211450552E1,1.746452451E0,1.208600006E2,1.700000048E0,1.180000019E1
3.821910772E2,6.507027000E1,2.550880333E1,1.251450514E1,1.686229944E0,1.201800003E2,1.700000048E0,1.189999962E1
3.831910772E2,6.507026167E1,2.550884500E1,1.221450510E1,1.635272503E0,1.165100021E2,1.700000048E0,1.160000038E1
3.841910772E2,6.507025500E1,2.550888333E1,1.231450472E1,1.606448054E0,1.256200027E2,1.700000048E0,1.169999981E1
3.851910772E2,6.507024333E1,2.550891833E1,1.251450630E1,1.611080527E0,1.324499969E2,1.700000048E0,1.169999981E1
3.861910772E2,6.507022833E1,2.550896333E1,1.231450834E1,1.626522183E0,1.335599976E2,1.700000048E0,1.160000038E1
3.871910772E2,6.507021667E1,2.550900167E1,1.241450969E1,1.588432789E0,1.268499985E2,1.700000048E0,1.150000000E1
3.881910772E2,6.507020667E1,2.550903500E1,1.241451081E1,1.600786090E0,1.337700043E2,1.700000048E0,1.150000000E1
3.891910772E2,6.507019500E1,2.550906833E1,1.281451251E1,1.673876643E0,1.358000031E2,1.700000048E0,1.139999962E1
3.901910772E2,6.507018500E1,2.550910000E1,1.311451375E1,1.629610538E0,1.343699951E2,1.700000048E0,1.139999962E1
3.911910772E2,6.507017000E1,2.550914333E1,1.311451590E1,1.672332525E0,1.324400024E2,1.700000048E0,1.139999962E1
3.921910772E2,6.507015667E1,2.550918167E1,1.311451782E1,1.768585563E0,1.367400055E2,1.700000048E0,1.139999962E1
3.931910772E2,6.507014167E1,2.550921000E1,1.301452103E1,1.815425277E0,1.557700043E2,1.700000048E0,1.150000000E1
3.941910772E2,6.507012667E1,2.550922500E1,1.261452517E1,1.817484140E0,1.715299988E2,1.700000048E0,1.150000000E1
3.951910772E2,6.507011667E1,2.550922833E1,1.261452840E1,1.708363056E0,1.843899994E2,1.700000048E0,1.160000038E1
3.961910772E2,6.507011000E1,2.550922333E1,1.271453107E1,1.620345592E0,2.151300049E2,1.600000024E0,1.130000019E1
3.971910772E2,6.507010333E1,2.550921333E1,1.231453408E1,1.611595273E0,2.115800018E2,1.700000048E0,1.150000000E1
3.981910772E2,6.507009500E1,2.550920000E1,1.211453791E1,1.626007557E0,2.296799927E2,1.700000048E0,1.130000019E1
3.991910772E2,6.507008833E1,2.550917833E1,1.211454175E1,1.569902778E0,2.306000061E2,1.799999952E0,1.110000038E1
4.001910772E2,6.507007667E1,2.550915667E1,1.231454732E1,1.642993331E0,2.312599945E2,1.700000048E0,1.110000038E1
4.011910772E2,6.507006667E1,2.550912667E1,1.241455290E1,1.605933309E0,2.331499939E2,1.700000048E0,1.119999981E1
4.021910772E2,6.507005500E1,2.550909667E1,1.271455907E1,1.533357501E0,2.320399933E2,1.700000048E0,1.139999962E1
4.031910772E2,6.507004667E1,2.550907500E1,1.231456348E1,1.504533052E0,2.458000031E2,1.700000048E0,1.130000019E1
4.041910772E2,6.507004000E1,2.550905167E1,1.201456744E1,1.490120888E0,2.494600067E2,1.600000024E0,1.119999981E1
4.051910772E2,6.507003667E1,2.550902667E1,1.161457036E1,1.526151419E0,2.663099976E2,1.700000048E0,1.119999981E1
4.061910772E2,6.507003167E1,2.550900000E1,1.151457398E1,1.521518946E0,2.503699951E2,1.700000048E0,1.089999962E1
4.071910772E2,6.507002500E1,2.550896833E1,1.171457852E1,1.523577809E0,2.430200043E2,1.700000048E0,1.089999962E1
4.081910772E2,6.507001667E1,2.550894000E1,1.201458341E1,1.499385834E0,2.431600037E2,1.700000048E0,1.100000000E1
4.091910772E2,6.507000833E1,2.550891167E1,1.211458830E1,1.485488296E0,2.251900024E2,1.799999952E0,1.080000019E1
4.101910772E2,6.507000000E1,2.550888667E1,1.211459296E1,1.418059707E0,2.325899963E2,1.700000048E0,1.089999962E1
4.111910772E2,6.506999333E1,2.550886333E1,1.211459692E1,1.346513391E0,2.341199951E2,1.700000048E0,1.089999962E1
4.121910772E2,6.506998500E1,2.550883333E1,1.231460193E1,1.318718314E0,2.418699951E2,1.700000048E0,1.089999962E1
4.131910772E2,6.506997333E1,2.550880333E1,1.241460809E1,1.344969153E0,2.382299957E2,1.700000048E0,1.100000000E1
4.141910772E2,6.506996833E1,2.550875167E1,1.261461347E1,1.393353105E0,2.458500061E2,1.700000048E0,1.139999962E1
4.151910772E2,6.506995833E1,2.550871333E1,1.281461965E1,1.448428392E0,2.405299988E2,1.799999952E0,1.130000019E1
4.161910772E2,6.506995000E1,2.550866500E1,1.351462595E1,1.518945336E0,2.386100006E2,1.799999952E0,1.130000019E1
4.171910772E2,6.506994167E1,2.550861833E1,1.391463214E1,1.522033572E0,2.455399933E2,1.799999952E0,1.060000038E1
4.181910772E2,6.506993333E1,2.550858667E1,1.421463727E1,1.484458923E0,2.352500000E2,1.799999952E0,1.060000038E1
4.191910772E2,6.506992333E1,2.550856000E1,1.441464263E1,1.490120888E0,2.258399963E2,1.799999952E0,1.030000019E1
4.201910772E2,6.506991333E1,2.550852833E1,1.471464834E1,1.495268106E0,2.376499939E2,1.799999952E0,1.039999962E1
4.211910772E2,6.506990333E1,2.550849500E1,1.541465416E1,1.540563583E0,2.401900024E2,1.700000048E0,1.039999962E1
4.221910772E2,6.506989833E1,2.550845667E1,1.581465861E1,1.556519985E0,2.330899963E2,1.799999952E0,1.050000000E1
4.231910772E2,6.506989167E1,2.550841833E1,1.601466363E1,1.560637832E0,2.416499939E2,1.799999952E0,1.030000019E1
4.241910772E2,6.506988667E1,2.550838000E1,1.641466808E1,1.530269146E0,2.483500061E2,1.799999952E0,1.050000000E1
4.251910772E2,6.506988000E1,2.550835500E1,1.661467216E1,1.461811066E0,2.248600006E2,1.799999952E0,1.039999962E1
4.261910772E2,6.506987167E1,2.550832000E1,1.711467753E1,1.392323613E0,2.504400024E2,1.799999952E0,1.030000019E1
4.271910772E2,6.506986500E1,2.550829167E1,1.781468184E1,1.391294122E0,2.440299988E2,1.799999952E0,1.019999981E1
4.281910772E2,6.506985000E1,2.550825667E1,1.811468953E1,1.431442499E0,2.443600006E2,1.799999952E0,1.030000019E1
4.291910772E2,6.506983667E1,2.550823833E1,1.861469546E1,1.435045600E0,2.442500000E2,1.799999952E0,1.019999981E1
4.301910772E2,6.506982500E1,2.550821167E1,1.881470140E1,1.419089198E0,2.243699951E2,1.799999952E0,1.000000000E1
4.311910772E2,6.506981500E1,2.550818500E1,1.881470676E1,1.406735778E0,2.339700012E2,1.799999952E0,1.019999981E1
4.321910772E2,6.506980333E1,2.550815000E1,1.871471329E1,1.405191660E0,2.413699951E2,1.799999952E0,1.030000019E1
4.331910772E2,6.506979333E1,2.550810833E1,1.851471971E1,1.388720512E0,2.424900055E2,1.799999952E0,1.039999962E1
4.341910772E2,6.506978167E1,2.550807500E1,1.821472612E1,1.394382477E0,2.427899933E2,1.799999952E0,1.050000000E1
4.351910772E2,6.506977000E1,2.550803167E1,1.801473324E1,1.457693338E0,2.538800049E2,1.799999952E0,1.039999962E1
4.361910772E2,6.506975667E1,2.550799500E1,1.791474047E1,1.521004200E0,2.395099945E2,1.799999952E0,1.000000000E1
4.371910772E2,6.506974333E1,2.550795667E1,1.771474782E1,1.560123086E0,2.331199951E2,1.799999952E0,1.000000000E1
4.381910772E2,6.506972833E1,2.550791500E1,1.761475598E1,1.629610538E0,2.372899933E2,1.799999952E0,9.800000191E0
4.391910772E2,6.506971167E1,2.550787333E1,1.751476473E1,1.668214679E0,2.369199982E2,1.799999952E0,1.010000038E1
4.401910772E2,6.506970167E1,2.550783000E1,1.711477128E1,1.704759955E0,2.473899994E2,1.700000048E0,1.000000000E1
